training,freq,class
لهم,9,horror
بني,64,horror
عهد,5,horror
نطق,10,horror
سلل,6,horror
حنأ,13,horror
حبك,31,horror
سعد,234,horror
سنر,6,horror
صوح,7,horror
قلم,5,horror
اصبح,22,horror
وخي,19,horror
فدي,6,horror
سبق,28,horror
طرد,52,horror
دود,4,horror
ضيق,7,horror
عيش,63,horror
نشط,9,horror
طبق,13,horror
طبب,36,horror
ذكر,76,horror
وهي,6,horror
ذكي,9,horror
قنع,15,horror
هرب,28,horror
قمأ,27,horror
فكر,67,horror
زاندر,6,horror
كيف,6,horror
دوك,5,horror
خصص,27,horror
قلد,7,horror
أفق,7,horror
شرط,115,horror
ريي,24,horror
علا,56,horror
كارولين,21,horror
حمد,10,horror
غبي,12,horror
نتج,14,horror
حسن,69,horror
شكي,12,horror
توه,5,horror
حضر,90,horror
حرص,5,horror
عدل,30,horror
غرق,20,horror
حرف,6,horror
نوع,35,horror
فوق,11,horror
حزن,7,horror
ملأ,9,horror
سقف,16,horror
علم,192,horror
عمي,9,horror
نجم,7,horror
غمض,9,horror
دقق,33,horror
تعب,16,horror
جاكس,9,horror
نوأ,9,horror
ذهب,256,horror
رقب,18,horror
جزر,7,horror
نصف,22,horror
أجل,36,horror
ساتصل,7,horror
دعم,12,horror
دعك,10,horror
عصب,11,horror
رجل,90,horror
برد,26,horror
خرج,126,horror
دخن,10,horror
شده,7,horror
تيل,6,horror
شوه,10,horror
عبر,35,horror
سرد,6,horror
صلح,24,horror
جرع,5,horror
سلت,13,horror
جاء,8,horror
حوز,5,horror
جيش,46,horror
جنن,28,horror
نرد,12,horror
أنس,25,horror
هوي,10,horror
يود,57,horror
طلب,86,horror
كون,62,horror
رجح,5,horror
مور,131,horror
مكن,151,horror
بلغ,19,horror
نظم,11,horror
فهم,86,horror
نوب,21,horror
ريناي,8,horror
كنس,36,horror
صلب,12,horror
رحل,57,horror
بدل,14,horror
سرع,48,horror
قطع,46,horror
صري,5,horror
هتف,31,horror
ضوأ,12,horror
جني,75,horror
مرس,5,horror
فتأ,75,horror
حدأ,25,horror
وسع,20,horror
وصي,7,horror
رتب,12,horror
أخذ,107,horror
سلم,24,horror
وضح,11,horror
خ,10,horror
مسي,11,horror
مازال,11,horror
دعا,174,horror
حلك,10,horror
قوا,27,horror
زوي,6,horror
حرب,12,horror
زوج,75,horror
روز,23,horror
ظ,82,horror
بوب,19,horror
صحي,8,horror
حبس,10,horror
قسم,30,horror
نوح,13,horror
صدق,125,horror
فرد,29,horror
أثر,18,horror
