training,freq,class
خزن,29,crime
عسكر,15,crime
هوب,18,crime
وحد,120,crime
صرح,25,crime
شاستا,27,crime
سلل,17,crime
طبب,22,crime
جاكي,13,crime
عشي,36,crime
وضح,31,crime
تشارلي,24,crime
خشي,15,crime
رين,104,crime
غسل,14,crime
هتم,56,crime
عصر,16,crime
ترجم,40,crime
معي,50,crime
طفل,92,crime
ريتشي,20,crime
وكل,19,crime
فيرجل,26,crime
يوم,329,crime
نفق,22,crime
طرا,24,crime
ألم,55,crime
حين,153,crime
تحف,14,crime
ذهل,14,crime
شمال,13,crime
قبض,39,crime
قصد,100,crime
قذر,30,crime
حبس,15,crime
صبح,56,crime
عنف,25,crime
قرر,44,crime
ليل,121,crime
حلي,65,crime
ثور,66,crime
ضوع,26,crime
لشي,27,crime
زرق,13,crime
ضمن,23,crime
قضي,199,crime
مارزين,29,crime
ومأ,49,crime
مرر,83,crime
كرم,20,crime
عذر,92,crime
ميز,46,crime
طالما,22,crime
رسل,94,crime
رغم,24,crime
سري,40,crime
أرخ,15,crime
دوم,23,crime
ركب,76,crime
قلم,13,crime
غمض,14,crime
سحر,14,crime
ميلاد,21,crime
منح,25,crime
سود,583,crime
وجب,34,crime
فرد,48,crime
نظر,369,crime
راردي,20,crime
فتأ,122,crime
جهل,33,crime
فجر,15,crime
دهي,16,crime
غلق,81,crime
ضعف,27,crime
نشر,29,crime
نيأ,19,crime
سعف,21,crime
سوم,19,crime
عزف,13,crime
وسع,72,crime
خلل,25,crime
وصل,71,crime
زود,102,crime
سقط,46,crime
وبش,76,crime
صدم,21,crime
ف,14,crime
زيي,13,crime
نسب,113,crime
جزل,26,crime
دخن,23,crime
رقم,68,crime
حوج,148,crime
ملأ,62,crime
رمي,22,crime
طقي,12,crime
عنق,17,crime
ميد,30,crime
تستطيع,22,crime
جدي,251,crime
صعد,40,crime
صفق,22,crime
ذهب,388,crime
شرف,47,crime
موه,28,crime
روم,28,crime
دوك,93,crime
حلف,18,crime
وحش,21,crime
لوق,13,crime
حمر,18,crime
عقل,67,crime
ثمن,17,crime
رتب,30,crime
دمر,16,crime
جابونيكا,15,crime
علج,28,crime
شبه,130,crime
جدر,41,crime
وجه,122,crime
شوط,13,crime
رضي,39,crime
قتل,216,crime
قود,110,crime
دنا,32,crime
كارولين,20,crime
ورط,25,crime
مهل,116,crime
خدر,63,crime
جهي,57,crime
ربط,41,crime
نيويورك,13,crime
لدي,277,crime
برم,21,crime
سكن,32,crime
ركض,14,crime
منطق,25,crime
طوف,16,crime
شحن,61,crime
لعب,64,crime
هنه,14,crime
شيت,43,crime
رقب,76,crime
ندر,14,crime
صحي,31,crime
بني,178,crime
نحر,12,crime
روح,67,crime
رخص,31,crime
غرق,19,crime
حنت,17,crime
لوث,13,crime
فرص,26,crime
روس,103,crime
فول,35,crime
غدي,34,crime
في,23,crime
فيلم,50,crime
نطق,18,crime
حصل,222,crime
خبأ,26,crime
مجل,18,crime
وصي,13,crime
خول,46,crime
كلم,211,crime
يود,124,crime
خفض,18,crime
صدر,19,crime
طوع,109,crime
جرب,16,crime
ايبتسون,31,crime
و,64,crime
قسم,91,crime
كني,153,crime
طبع,161,crime
بيع,83,crime
بكر,29,crime
عبد,12,crime
دفع,140,crime
خرأ,18,crime
ثبت,24,crime
نوح,15,crime
جمل,115,crime
يمكن,299,crime
فرق,69,crime
نوس,95,crime
مطر,14,crime
نجد,21,crime
بطل,51,crime
زمن,24,crime
غلين,25,crime
عطف,35,crime
برز,12,crime
بدن,46,crime
خسر,25,crime
دعم,13,crime
قد,17,crime
لوس,231,crime
رول,12,crime
رجل,595,crime
دبر,14,crime
بوت,32,crime
كنس,19,crime
عبر,104,crime
جوز,28,crime
عنه,157,crime
قدم,245,crime
شده,13,crime
فينس,15,crime
فور,30,crime
خطب,66,crime
مدين,74,crime
درك,32,crime
رفع,44,crime
أجر,19,crime
توج,43,crime
رهب,28,crime
حفظ,59,crime
فدرالي,16,crime
سحق,22,crime
دخل,231,crime
سجد,26,crime
شهر,75,crime
بخر,152,crime
طوي,17,crime
اصبح,25,crime
كان,61,crime
جيسكا,15,crime
طوب,36,crime
طلل,26,crime
درس,66,crime
دله,27,crime
زعج,25,crime
سمر,27,crime
بور,41,crime
رجع,62,crime
حوط,43,crime
همم,48,crime
أمن,56,crime
ق,19,crime
برونوين,17,crime
نقص,16,crime
توه,26,crime
ميس,22,crime
شوش,18,crime
جرم,112,crime
لبأ,21,crime
دكك,33,crime
رعي,15,crime
مارتش,24,crime
قعي,26,crime
تير,13,crime
ربأ,28,crime
جنب,104,crime
ركز,13,crime
كسب,12,crime
فقد,82,crime
هول,59,crime
قوا,24,crime
ولف,64,crime
رود,719,crime
صرخ,12,crime
عوم,93,crime
ودع,26,crime
جني,75,crime
بوق,12,crime
أثر,24,crime
تجر,31,crime
شبب,12,crime
دكتور,38,crime
ثلج,33,crime
ثوب,13,crime
هلك,13,crime
سعد,324,crime
رده,13,crime
شرق,20,crime
شرك,104,crime
عهد,14,crime
فرأ,59,crime
ضرر,14,crime
قعد,53,crime
قطر,13,crime
سفه,46,crime
مزح,40,crime
بوب,107,crime
سبع,56,crime
أكد,135,crime
عشق,14,crime
فرغ,21,crime
قطع,118,crime
عرف,696,crime
ورن,14,crime
ولد,42,crime
بروكس,17,crime
سجن,127,crime
كرى,64,crime
فظع,22,crime
نقذ,27,crime
عثر,34,crime
جرح,22,crime
نسخ,13,crime
صغر,93,crime
جوب,42,crime
وشك,12,crime
لخص,34,crime
أفق,16,crime
روي,279,crime
أنس,59,crime
وجد,191,crime
هدد,23,crime
قصر,17,crime
طلب,156,crime
رجأ,139,crime
لون,169,crime
سلت,23,crime
دعا,307,crime
حسب,85,crime
حصا,21,crime
عصم,12,crime
شوي,13,crime
ظنن,21,crime
بلغ,65,crime
حقب,41,crime
نسأ,89,crime
د,29,crime
فحص,15,crime
قصص,44,crime
يتم,132,crime
لوف,41,crime
بشر,42,crime
روغ,12,crime
شون,38,crime
عدم,16,crime
خون,14,crime
سمع,294,crime
درب,19,crime
نمي,15,crime
لوك,45,crime
فني,37,crime
دوأ,69,crime
رحل,141,crime
نوع,74,crime
طلق,193,crime
ربب,290,crime
جلي,31,crime
مضي,52,crime
لمس,25,crime
سعر,23,crime
حلل,36,crime
لكن,17,crime
غرانادا,12,crime
طفأ,16,crime
كرامبف,14,crime
يقظ,19,crime
فجأ,42,crime
نور,170,crime
شكي,49,crime
اولدمان,56,crime
شفي,34,crime
خنث,15,crime
وظف,54,crime
درج,97,crime
اتساءل,12,crime
لحب,14,crime
فقأ,204,crime
حزم,12,crime
طبخ,13,crime
لحظ,80,crime
ست,25,crime
عدا,214,crime
حول,450,crime
تيل,27,crime
ثمل,12,crime
دور,103,crime
صور,138,crime
نرد,22,crime
حدأ,62,crime
مه,13,crime
سرع,95,crime
صعب,37,crime
لوج,12,crime
مور,124,crime
سوا,69,crime
رعب,13,crime
بدل,34,crime
عتد,15,crime
صنع,47,crime
سول,113,crime
ولي,119,crime
طبي,25,crime
ديدز,16,crime
حبك,22,crime
بلي,51,crime
مرأ,144,crime
شرع,104,crime
صبأ,26,crime
فضل,295,crime
متع,35,crime
شجع,20,crime
ترك,76,crime
لكأ,16,crime
سبل,26,crime
ورس,18,crime
عيش,99,crime
روض,28,crime
صوح,55,crime
خدع,25,crime
لجأ,12,crime
حمس,13,crime
بطح,25,crime
فسد,29,crime
سرق,149,crime
جرأ,65,crime
مهي,14,crime
صحح,269,crime
ذنب,23,crime
نول,86,crime
شرح,22,crime
ك,12,crime
لقط,15,crime
هجم,20,crime
نهض,35,crime
طرح,15,crime
كلأ,23,crime
فوض,22,crime
بيض,97,crime
نفس,98,crime
ضيق,25,crime
غوأ,25,crime
قلل,314,crime
تعب,17,crime
رغب,59,crime
سمي,201,crime
دلك,13,crime
حمأ,69,crime
لعن,42,crime
حمل,108,crime
عقر,15,crime
مول,249,crime
لوح,72,crime
حظي,64,crime
كيل,18,crime
عمل,624,crime
نفع,13,crime
نغي,13,crime
حدد,92,crime
قلق,59,crime
بضع,39,crime
