word,freq,mean
حكم,52,0.0052
طرد,52,0.0052
ودي,51,0.0051
قدر,51,0.0051
نوس,51,0.0051
جرد,51,0.0051
دال,51,0.0051
ت,51,0.0051
نقل,51,0.0051
ويل,50,0.005
طلق,49,0.0049
ردد,49,0.0049
توب,48,0.0048
سرع,48,0.0048
نول,48,0.0048
قصص,47,0.0047
لوم,47,0.0047
ظهر,47,0.0047
جيش,46,0.0046
قطع,46,0.0046
هدأ,46,0.0046
رسم,46,0.0046
يقظ,46,0.0046
وحد,46,0.0046
جوي,46,0.0046
جدد,45,0.0045
صغر,45,0.0045
نور,45,0.0045
مدي,45,0.0045
بوت,44,0.0044
جلس,44,0.0044
صوب,44,0.0044
لحق,44,0.0044
حمل,44,0.0044
فتح,43,0.0043
دور,43,0.0043
لبد,43,0.0043
رسل,43,0.0043
طبي,43,0.0043
علق,43,0.0043
قلق,43,0.0043
جمع,42,0.0042
لعب,42,0.0042
نجد,42,0.0042
عنه,41,0.0041
لغا,41,0.0041
دكتور,41,0.0041
مرر,40,0.004
سوع,40,0.004
تبع,40,0.004
جرم,40,0.004
بحث,40,0.004
بول,39,0.0039
جسد,39,0.0039
حبب,39,0.0039
لقي,39,0.0039
ي,38,0.0038
سفل,38,0.0038
عثر,38,0.0038
زود,37,0.0037
جحم,37,0.0037
ألم,37,0.0037
جمل,37,0.0037
حمأ,37,0.0037
خول,37,0.0037
لقط,37,0.0037
فرض,37,0.0037
وتر,37,0.0037
كيل,37,0.0037
ملك,36,0.0036
طبب,36,0.0036
لحظ,36,0.0036
روس,36,0.0036
أجل,36,0.0036
عذر,36,0.0036
كنس,36,0.0036
جميع,35,0.0035
ورن,35,0.0035
عبر,35,0.0035
خلف,35,0.0035
بدن,35,0.0035
نوع,35,0.0035
ترجم,34,0.0034
حلي,34,0.0034
جهز,34,0.0034
شفي,34,0.0034
ضحي,34,0.0034
دمي,34,0.0034
حرق,34,0.0034
سجل,34,0.0034
صعب,34,0.0034
مهل,33,0.0033
خذأ,33,0.0033
نسب,33,0.0033
دقق,33,0.0033
مرض,33,0.0033
وثق,33,0.0033
دائما,33,0.0033
دوريس,33,0.0033
سكن,32,0.0032
كفأ,32,0.0032
جنب,32,0.0032
ضبط,32,0.0032
دايفيد,32,0.0032
لبس,32,0.0032
فقأ,32,0.0032
نتأ,32,0.0032
قلب,31,0.0031
كمل,31,0.0031
ولي,31,0.0031
خطب,31,0.0031
صول,31,0.0031
قرأ,31,0.0031
حبك,31,0.0031
هتف,31,0.0031
راتشيل,31,0.0031
عدل,30,0.003
لا,30,0.003
قسم,30,0.003
قود,30,0.003
شهر,30,0.003
ظلم,30,0.003
قصد,30,0.003
شرك,29,0.0029
فرد,29,0.0029
مثل,29,0.0029
ولف,29,0.0029
مضي,29,0.0029
صرع,29,0.0029
حلم,29,0.0029
لي,29,0.0029
سبق,28,0.0028
حين,28,0.0028
شبه,28,0.0028
جنن,28,0.0028
درج,28,0.0028
حوت,28,0.0028
شري,28,0.0028
درأ,28,0.0028
بشر,28,0.0028
كشف,28,0.0028
علج,28,0.0028
هرب,28,0.0028
وبش,28,0.0028
تيم,28,0.0028
الذي,28,0.0028
خطر,27,0.0027
بيع,27,0.0027
قوا,27,0.0027
خدم,27,0.0027
خصص,27,0.0027
منع,27,0.0027
وتي,27,0.0027
قمأ,27,0.0027
سأل,27,0.0027
عمر,27,0.0027
حدد,27,0.0027
جزأ,26,0.0026
مون,26,0.0026
وجه,26,0.0026
حرك,26,0.0026
ظنت,26,0.0026
غضب,26,0.0026
ضيف,26,0.0026
روم,26,0.0026
جرأ,26,0.0026
ك,26,0.0026
برد,26,0.0026
كلب,25,0.0025
حوط,25,0.0025
ندا,25,0.0025
حدأ,25,0.0025
شون,25,0.0025
و,25,0.0025
عدد,25,0.0025
أنس,25,0.0025
صنع,25,0.0025
رجع,25,0.0025
وصل,25,0.0025
روكي,24,0.0024
لعن,24,0.0024
سلم,24,0.0024
لام,24,0.0024
عجب,24,0.0024
قدس,24,0.0024
منا,24,0.0024
صلح,24,0.0024
دوأ,24,0.0024
دول,24,0.0024
ريي,24,0.0024
سرر,24,0.0024
روض,24,0.0024
أخت,24,0.0024
وري,24,0.0024
روجر,24,0.0024
غور,23,0.0023
غلق,23,0.0023
عهر,23,0.0023
نمي,23,0.0023
فرص,23,0.0023
همم,23,0.0023
جرب,23,0.0023
ربط,23,0.0023
طقس,23,0.0023
قرر,23,0.0023
عون,23,0.0023
أرك,23,0.0023
محق,23,0.0023
أكل,23,0.0023
خفي,23,0.0023
جون,23,0.0023
ر,23,0.0023
روز,23,0.0023
بسط,22,0.0022
مسك,22,0.0022
عين,22,0.0022
شرب,22,0.0022
سعي,22,0.0022
اصبح,22,0.0022
برا,22,0.0022
هتم,22,0.0022
نصف,22,0.0022
سبع,22,0.0022
وعد,22,0.0022
كور,22,0.0022
سمر,22,0.0022
عوم,22,0.0022
فسر,22,0.0022
نقد,21,0.0021
شرر,21,0.0021
س,21,0.0021
لمس,21,0.0021
كلأ,21,0.0021
أله,21,0.0021
صباح,21,0.0021
هون,21,0.0021
صلت,21,0.0021
ستر,21,0.0021
حفظ,21,0.0021
نوب,21,0.0021
صفف,21,0.0021
لشي,21,0.0021
دلل,21,0.0021
كارولين,21,0.0021
مورجان,21,0.0021
ثني,20,0.002
خوص,20,0.002
عند,20,0.002
طفأ,20,0.002
موه,20,0.002
غدر,20,0.002
مزح,20,0.002
أتم,20,0.002
لوي,20,0.002
رضي,20,0.002
وسع,20,0.002
قهي,20,0.002
سمك,20,0.002
غرق,20,0.002
تستطيع,20,0.002
صبح,20,0.002
وخي,19,0.0019
جور,19,0.0019
بلغ,19,0.0019
حذر,19,0.0019
نجح,19,0.0019
كره,19,0.0019
وفي,19,0.0019
مهي,19,0.0019
دمر,19,0.0019
زول,19,0.0019
سري,19,0.0019
تهم,19,0.0019
بوب,19,0.0019
صوتي,19,0.0019
خدع,19,0.0019
خطط,19,0.0019
سوح,18,0.0018
تريفور,18,0.0018
أمل,18,0.0018
رقب,18,0.0018
ثبت,18,0.0018
هنأ,18,0.0018
كذب,18,0.0018
أثر,18,0.0018
سحر,18,0.0018
ست,18,0.0018
رغب,18,0.0018
صفق,18,0.0018
طعم,18,0.0018
ب,18,0.0018
يسن,18,0.0018
ن,17,0.0017
غادر,17,0.0017
كسر,17,0.0017
فوح,17,0.0017
بلد,17,0.0017
ضرب,17,0.0017
غرض,17,0.0017
شرح,17,0.0017
قوط,17,0.0017
فتر,17,0.0017
حطم,17,0.0017
عدم,17,0.0017
كان,17,0.0017
ليس,17,0.0017
نسخ,17,0.0017
حود,16,0.0016
رقم,16,0.0016
تكي,16,0.0016
نفذ,16,0.0016
شجر,16,0.0016
جلب,16,0.0016
عجز,16,0.0016
خسر,16,0.0016
بعض,16,0.0016
وظف,16,0.0016
أزل,16,0.0016
لكأ,16,0.0016
حلل,16,0.0016
تعب,16,0.0016
سحق,16,0.0016
فيديو,16,0.0016
خرق,16,0.0016
رهب,16,0.0016
سقف,16,0.0016
ز,16,0.0016
شرع,15,0.0015
دكك,15,0.0015
كسي,15,0.0015
جلي,15,0.0015
سلح,15,0.0015
فور,15,0.0015
جوب,15,0.0015
جهي,15,0.0015
شور,15,0.0015
نكأ,15,0.0015
لطف,15,0.0015
وسط,15,0.0015
خلص,15,0.0015
عظم,15,0.0015
وشل,15,0.0015
شغل,15,0.0015
